DATE	NAME	CIK	FIRM	SOURCE	BLACK	MALE	FEMALE	LGBT	NONBINARY	ASIAN	LATINX	DIRECTORS	NOTES	DND_GENDER	DND_DEMO
2022	iClick Interactive Asia Group Ltd	1697818	iclk	proxy											
2022	ICON PLC	1060955	iclr	proxy											
2022	SeaStar Medical Holding Corp	1831868	icu	proxy											
2022	ICAHN ENTERPRISES L.P.	813762	iep	proxy											
2022	Infobird Co., Ltd	1815566	ifbd	proxy											
2022	InflaRx N.V.	1708688	ifrx	proxy											
2022	International General Insurance Holdings Ltd.	1794338	igic	proxy											
2022	Inspira Technologies OXY B.H.N. Ltd	1837493	iinn	proxy											
2022	Intelligent Living Application Group Inc.	1814963	ilag	proxy											
2022	I-Mab	1778016	imab	proxy											
2022	International Media Acquisition Corp.	1846235	imaq	proxy											
2022	IM Cannabis Corp.	1792030	imcc	proxy											
2022	Immunocore Holdings plc	1671927	imcr	proxy											
2022	IMMUTEP Ltd	1506184	immp	proxy											
2022	Imunon, Inc.	749647	imnn	proxy											
2022	CHIPMOS TECHNOLOGIES INC	1123134	imos	proxy											
2022	Imperial Petroleum Inc./Marshall Islands	1876581	impp	proxy											
2022	Immuron Ltd	1660046	imrn	proxy											
2022	Integrated Media Technology Ltd	1668438	imte	proxy											
2022	Immatics N.V.	1809196	imtx	proxy											
2022	INTELLIGENT BIO SOLUTIONS INC.	1725430	inbs	proxy											
2022	Intercure Ltd.	1857030	incr	proxy											
2022	INDIVIOR PLC	1625297	indv	proxy											
2022	InMode Ltd.	1742692	inmd	proxy											
2022	Inter & Co, Inc.	1864163	intr	proxy											
2022	INTENSITY THERAPEUTICS, INC.	1567264	ints	proxy											
2022	Innoviz Technologies Ltd.	1835654	invz	proxy											
2022	ioneer Ltd	1896084	ionr	proxy											
2022	ImmunoPrecise Antibodies Ltd.	1715925	ipa	proxy											
2022	Innate Pharma SA	1598599	ipha	proxy											
2022	IPERIONX Ltd	1898601	ipx	proxy											
2022	iQIYI, Inc.	1722608	iq	proxy											
2022	Iris Energy Ltd	1878848	iren	proxy											
2022	Disc Medicine, Inc.	1816736	iron	proxy											
2022	Ispire Technology Inc.	1948455	ispr	proxy											
2022	Industrial Tech Acquisitions II, Inc.	1841586	itaq	proxy											
2022	Ituran Location & Control Ltd.	1337117	itrn	proxy											
2022	Inventiva S.A.	1756594	iva	proxy											
2022	Iveda Solutions, Inc.	1397183	ivda	proxy											
2022	INSPIRE VETERINARY PARTNERS, INC.	1939365	ivp	proxy											
2022	Invivyd, Inc.	1832038	ivvd	proxy											
2022	Incannex Healthcare Ltd	1873875	ixhl	proxy											
2022	ICZOOM Group Inc.	1854572	izm	proxy											
2022	JE Cleantech Holdings Ltd	1905511	jcse	proxy											
2022	JD.com, Inc.	1549802	jd	proxy											
2022	Adamas One Corp.	1884072	jewl	proxy											
2022	Jeffs' Brands Ltd	1885408	jfbr	proxy											
2022	Jiayin Group Inc.	1743102	jfin	proxy											
2022	9F Inc.	1619544	jfu	proxy											
2022	Aurora Mobile Ltd	1737339	jg	proxy											
2022	J&J SNACK FOODS CORP	785956	jjsf	proxy											
2022	Janover Inc.	1805526	jnvr	proxy											
